# frame no.	time	no. domains	avg. domain vol. (area)	std. dev.
Less than 0.5
0	0.0000000	4	916.1977537	1397.1985312
1	10.0000000	2	1918.6594123	1587.5483306
2	20.0000000	2	1997.2022655	1675.7166454
3	30.0000000	2	2061.9515905	1771.4781012
4	40.0000000	2	2126.2337032	1863.8372276
5	50.0000000	2	2190.3671182	1953.8098474
More than 0.5
0	0.0000000	4	1583.8022463	1603.4422549
1	10.0000000	4	1540.6702939	1587.5401444
2	20.0000000	3	2001.8651564	1509.2998253
3	30.0000000	3	1958.6989397	1494.8877575
4	40.0000000	3	1915.8441979	1485.6636176
5	50.0000000	3	1873.0885878	1480.6406990
