Step	Time	fraction_1	fraction_0
 0	0.0	0.02508	0.97492
 1	4.0	0.02508	0.97492
 2	8.0	0.02508	0.97492
 3	12.0	0.02508	0.97492
 4	16.0	0.02508	0.97492
 5	20.0	0.02508	0.97492
 6	24.0	0.02508	0.97492
 7	28.0	0.02508	0.97492
 8	32.0	0.02508	0.97492
 9	36.0	0.02508	0.97492
 10	40.0	0.02508	0.97492
 11	44.0	0.02508	0.97492
 12	48.0	0.02508	0.97492
 13	52.0	0.02508	0.97492
 14	56.0	0.02508	0.97492
 15	60.0	0.02508	0.97492
 16	64.0	0.02508	0.97492
 17	68.0	0.02508	0.97492
 18	72.0	0.02508	0.97492
 19	76.0	0.02508	0.97492
 20	80.0	0.02508	0.97492
 21	84.0	0.02508	0.97492
 22	88.0	0.02508	0.97492
 23	92.0	0.02508	0.97492
 24	96.0	0.02508	0.97492
 25	100.0	0.02508	0.97492
 26	104.0	0.02508	0.97492
 27	108.0	0.02508	0.97492
 28	112.0	0.02508	0.97492
 29	116.0	0.02508	0.97492
 30	120.0	0.02508	0.97492
