Step	Time	Phase_Fraction_1	Phase_Fraction_2
0.0	0.0	0.11896551724137931	0.8810344827586207
1000.0	4.0	0.10517241379310345	0.8948275862068965
2000.0	8.0	0.06838565022421525	0.9316143497757847
3000.0	12.0	0.06838565022421525	0.9316143497757847
4000.0	16.0	0.04055851063829787	0.9594414893617021
5000.0	20.0	0.04055851063829787	0.9594414893617021
6000.0	24.0	0.02512355848434926	0.9748764415156508
7000.0	28.0	0.023476112026359144	0.9765238879736409
8000.0	32.0	0.017636138613861384	0.9823638613861386
9000.0	36.0	0.017636138613861384	0.9823638613861386
10000.0	40.0	0.013115631691648822	0.9868843683083511
11000.0	44.0	0.013115631691648822	0.9868843683083511
12000.0	48.0	0.010673624288425047	0.989326375711575
13000.0	52.0	0.010673624288425047	0.989326375711575
14000.0	56.0	0.008816614420062695	0.9911833855799373
15000.0	60.0	0.008816614420062695	0.9911833855799373
16000.0	64.0	0.007905832747716092	0.9920941672522839
17000.0	68.0	0.007905832747716092	0.9920941672522839
18000.0	72.0	0.007071024512884978	0.992928975487115
19000.0	76.0	0.005813953488372093	0.9941860465116279
20000.0	80.0	0.005110497237569061	0.9948895027624309
21000.0	84.0	0.005110497237569061	0.9948895027624309
22000.0	88.0	0.004662298387096774	0.9953377016129032
23000.0	92.0	0.0036542338709677417	0.9963457661290323
24000.0	96.0	0.0028525787311729804	0.997147421268827
25000.0	100.0	0.0023961661341853034	0.9976038338658147
26000.0	104.0	0.002130681818181818	0.9978693181818182
27000.0	108.0	0.0009131493506493506	0.9990868506493507
28000.0	112.0	0.0	1.0
29000.0	116.0	0.0	1.0
30000.0	120.0	0.0	1.0
