Step	Time	Interfacial Area
0	0.0	5.68996
1	4.0	5.59219
2	8.0	5.53889
3	12.0	5.49149
4	16.0	5.44463
5	20.0	5.39694
6	24.0	5.34732
7	28.0	5.29490
8	32.0	5.24039
9	36.0	5.18265
10	40.0	5.12308
11	44.0	5.06105
12	48.0	4.99674
13	52.0	4.93057
14	56.0	4.86166
15	60.0	4.78929
16	64.0	4.71245
17	68.0	4.62978
18	72.0	4.53932
19	76.0	4.44048
20	80.0	4.33318
21	84.0	4.21177
22	88.0	4.06761
23	92.0	3.88931
24	96.0	3.67574
25	100.0	3.41966
26	104.0	3.07322
27	108.0	2.31858
28	112.0	0.00000
29	112.0	0.00000
30	112.0	0.00000
