Step	Time	Phase_Fraction_1	Phase_Fraction_2
0.0	0.0	0.4998779296875	0.5001220703125
1000.0	4.0	0.501495361328125	0.498504638671875
2000.0	8.0	0.5002593994140625	0.4997406005859375
3000.0	12.0	0.5003814697265625	0.4996185302734375
4000.0	16.0	0.5012670595059995	0.4987329404940005
5000.0	20.0	0.5005037706469636	0.4994962293530364
6000.0	24.0	0.5012587112025297	0.49874128879747026
7000.0	28.0	0.5005219046449514	0.4994780953550486
8000.0	32.0	0.5006968533201189	0.49930314667988107
9000.0	36.0	0.5016105054509415	0.49838949454905845
10000.0	40.0	0.50226123551396	0.49773876448604004
11000.0	44.0	0.5031877139537075	0.49681228604629246
12000.0	48.0	0.5050593438762847	0.4949406561237153
13000.0	52.0	0.5049638845578642	0.49503611544213577
14000.0	56.0	0.505516484934512	0.49448351506548804
15000.0	60.0	0.5055810052261436	0.4944189947738564
16000.0	64.0	0.5071149028148487	0.4928850971851513
17000.0	68.0	0.5068856539324371	0.4931143460675629
18000.0	72.0	0.5062495833611093	0.49375041663889074
19000.0	76.0	0.5064662355842944	0.4935337644157056
20000.0	80.0	0.5076526312240839	0.4923473687759161
21000.0	84.0	0.5076526312240839	0.4923473687759161
22000.0	88.0	0.5080496623234872	0.49195033767651275
23000.0	92.0	0.5078620642608637	0.49213793573913633
24000.0	96.0	0.5080172413793104	0.49198275862068963
25000.0	100.0	0.5084310344827586	0.4915689655172414
26000.0	104.0	0.510573489251453	0.48942651074854704
27000.0	108.0	0.5107485470205168	0.48925145297948325
28000.0	112.0	0.5112036134974759	0.4887963865025241
29000.0	116.0	0.511575591178815	0.488424408821185
30000.0	120.0	0.5118050813957667	0.48819491860423325
31000.0	124.0	0.5118410177166062	0.4881589822833938
32000.0	128.0	0.5105748964314267	0.48942510356857327
33000.0	132.0	0.5107020859074061	0.48929791409259393
34000.0	136.0	0.5108260118369298	0.48917398816307023
35000.0	140.0	0.5111752380252178	0.4888247619747822
36000.0	144.0	0.5118654138968322	0.48813458610316784
37000.0	148.0	0.5114754707171241	0.48852452928287593
38000.0	152.0	0.5125072826025673	0.4874927173974327
39000.0	156.0	0.5131274784340994	0.48687252156590055
40000.0	160.0	0.5132771959170485	0.48672280408295154
41000.0	164.0	0.5132011632990553	0.4867988367009447
42000.0	168.0	0.5125502490815718	0.48744975091842824
43000.0	172.0	0.5118962897424554	0.4881037102575446
44000.0	176.0	0.511624742428366	0.488375257571634
45000.0	180.0	0.5116053030597566	0.4883946969402434
46000.0	184.0	0.5101002130513691	0.4898997869486309
47000.0	188.0	0.5101002130513691	0.4898997869486309
48000.0	192.0	0.5101812664696957	0.48981873353030425
49000.0	196.0	0.5108200910325001	0.48917990896749985
50000.0	200.0	0.5104133031966419	0.4895866968033581
