# frame no.	time	no. domains	avg. domain vol. (area)	std. dev.
Less than 0.5
0	0.0000000	1	2617.6475716	0.0000000
1	40.0000000	1	2617.6169352	0.0000000
2	80.0000000	1	2617.5723455	0.0000000
3	120.0000000	1	2617.5246429	0.0000000
4	160.0000000	1	2617.4736482	0.0000000
5	200.0000000	1	2617.4191203	0.0000000
6	240.0000000	1	2617.3597390	0.0000000
7	280.0000000	1	2617.2947013	0.0000000
8	320.0000000	1	2617.2243957	0.0000000
9	360.0000000	1	2617.1494295	0.0000000
10	400.0000000	1	2617.0689919	0.0000000
11	440.0000000	1	2616.9813115	0.0000000
12	480.0000000	1	2616.8842912	0.0000000
13	520.0000000	1	2616.7745517	0.0000000
14	560.0000000	1	2616.6510665	0.0000000
15	600.0000000	1	2616.5150126	0.0000000
16	640.0000000	1	2616.3694477	0.0000000
17	680.0000000	1	2616.2525066	0.0000000
18	720.0000000	1	2616.1658919	0.0000000
19	760.0000000	1	2616.0793483	0.0000000
20	800.0000000	1	2615.9988928	0.0000000
21	840.0000000	1	2615.8841358	0.0000000
22	880.0000000	1	2615.6818925	0.0000000
23	920.0000000	1	2615.5192533	0.0000000
24	960.0000000	1	2615.3746204	0.0000000
25	1000.0000000	1	2615.0919261	0.0000000
26	1040.0000000	1	2614.8323443	0.0000000
27	1080.0000000	1	2614.5877374	0.0000000
28	1120.0000000	1	2614.3645354	0.0000000
29	1160.0000000	1	2614.1646566	0.0000000
30	1200.0000000	1	2614.0014718	0.0000000
31	1240.0000000	1	2613.7312169	0.0000000
32	1280.0000000	1	2613.3879087	0.0000000
33	1320.0000000	1	2613.0854119	0.0000000
34	1360.0000000	1	2612.8094361	0.0000000
35	1400.0000000	1	2612.5648166	0.0000000
36	1440.0000000	1	2612.3164646	0.0000000
37	1480.0000000	1	2612.0272523	0.0000000
38	1520.0000000	1	2611.8078423	0.0000000
39	1560.0000000	1	2611.3052905	0.0000000
40	1600.0000000	1	2610.9123895	0.0000000
41	1640.0000000	1	2610.6930569	0.0000000
42	1680.0000000	1	2610.4817614	0.0000000
43	1720.0000000	1	2610.2296778	0.0000000
44	1760.0000000	1	2609.8899629	0.0000000
45	1800.0000000	1	2609.6371758	0.0000000
46	1840.0000000	1	2609.4504266	0.0000000
47	1880.0000000	1	2609.3028464	0.0000000
48	1920.0000000	1	2608.9243954	0.0000000
49	1960.0000000	1	2608.6189642	0.0000000
50	2000.0000000	1	2608.1922171	0.0000000
More than 0.5
0	0.0000000	1	3.7925065	0.0000000
1	40.0000000	1	3.8231429	0.0000000
2	80.0000000	1	3.8677326	0.0000000
3	120.0000000	1	3.9154352	0.0000000
4	160.0000000	1	3.9664299	0.0000000
5	200.0000000	1	4.0209578	0.0000000
6	240.0000000	1	4.0803391	0.0000000
7	280.0000000	1	4.1453768	0.0000000
8	320.0000000	1	4.2156824	0.0000000
9	360.0000000	1	4.2906486	0.0000000
10	400.0000000	1	4.3710862	0.0000000
11	440.0000000	1	4.4587666	0.0000000
12	480.0000000	1	4.5557869	0.0000000
13	520.0000000	1	4.6655264	0.0000000
14	560.0000000	1	4.7890117	0.0000000
15	600.0000000	1	4.9250655	0.0000000
16	640.0000000	1	5.0706305	0.0000000
17	680.0000000	1	5.1875715	0.0000000
18	720.0000000	1	5.2741862	0.0000000
19	760.0000000	1	5.3607298	0.0000000
20	800.0000000	1	5.4411853	0.0000000
21	840.0000000	1	5.5559423	0.0000000
22	880.0000000	1	5.7581856	0.0000000
23	920.0000000	1	5.9208248	0.0000000
24	960.0000000	1	6.0654578	0.0000000
25	1000.0000000	1	6.3481520	0.0000000
26	1040.0000000	1	6.6077338	0.0000000
27	1080.0000000	1	6.8523407	0.0000000
28	1120.0000000	1	7.0755428	0.0000000
29	1160.0000000	1	7.2754216	0.0000000
30	1200.0000000	1	7.4386063	0.0000000
31	1240.0000000	1	7.7088612	0.0000000
32	1280.0000000	1	8.0521695	0.0000000
33	1320.0000000	1	8.3546662	0.0000000
34	1360.0000000	1	8.6306420	0.0000000
35	1400.0000000	1	8.8752616	0.0000000
36	1440.0000000	1	9.1236135	0.0000000
37	1480.0000000	1	9.4128258	0.0000000
38	1520.0000000	1	9.6322359	0.0000000
39	1560.0000000	1	10.1347877	0.0000000
40	1600.0000000	1	10.5276887	0.0000000
41	1640.0000000	1	10.7470212	0.0000000
42	1680.0000000	1	10.9583168	0.0000000
43	1720.0000000	1	11.2104004	0.0000000
44	1760.0000000	1	11.5501152	0.0000000
45	1800.0000000	1	11.8029024	0.0000000
46	1840.0000000	1	11.9896515	0.0000000
47	1880.0000000	1	12.1372317	0.0000000
48	1920.0000000	1	12.5156827	0.0000000
49	1960.0000000	1	12.8211139	0.0000000
50	2000.0000000	1	13.2478610	0.0000000
