Step	Time	Phase_Fraction_1	Phase_Fraction_2
0.0	0.0	0.14349112426035504	0.856508875739645
10000.0	40.0	0.16724137931034483	0.8327586206896551
20000.0	80.0	0.16724137931034483	0.8327586206896551
30000.0	120.0	0.16724137931034483	0.8327586206896551
40000.0	160.0	0.17413793103448275	0.8258620689655173
50000.0	200.0	0.17413793103448275	0.8258620689655173
60000.0	240.0	0.17413793103448275	0.8258620689655173
70000.0	280.0	0.17413793103448275	0.8258620689655173
80000.0	320.0	0.17077464788732394	0.829225352112676
90000.0	360.0	0.17077464788732394	0.829225352112676
100000.0	400.0	0.17077464788732394	0.829225352112676
110000.0	440.0	0.17077464788732394	0.829225352112676
120000.0	480.0	0.17781690140845072	0.8221830985915493
130000.0	520.0	0.19190140845070422	0.8080985915492958
140000.0	560.0	0.19190140845070422	0.8080985915492958
150000.0	600.0	0.19190140845070422	0.8080985915492958
160000.0	640.0	0.22007042253521128	0.7799295774647887
170000.0	680.0	0.1953125	0.8046875
180000.0	720.0	0.1953125	0.8046875
190000.0	760.0	0.1953125	0.8046875
200000.0	800.0	0.1953125	0.8046875
210000.0	840.0	0.18825301204819278	0.8117469879518072
220000.0	880.0	0.2003012048192771	0.7996987951807228
230000.0	920.0	0.2003012048192771	0.7996987951807228
240000.0	960.0	0.18070652173913043	0.8192934782608696
250000.0	1000.0	0.20244565217391305	0.7975543478260869
260000.0	1040.0	0.21331521739130435	0.7866847826086957
270000.0	1080.0	0.22418478260869565	0.7758152173913043
280000.0	1120.0	0.22418478260869565	0.7758152173913043
290000.0	1160.0	0.20926966292134833	0.7907303370786517
300000.0	1200.0	0.20926966292134833	0.7907303370786517
310000.0	1240.0	0.21331521739130435	0.7866847826086957
320000.0	1280.0	0.21331521739130435	0.7866847826086957
330000.0	1320.0	0.24048913043478262	0.7595108695652174
340000.0	1360.0	0.2513586956521739	0.7486413043478262
350000.0	1400.0	0.2513586956521739	0.7486413043478262
360000.0	1440.0	0.26336898395721925	0.7366310160427807
370000.0	1480.0	0.27406417112299464	0.7259358288770054
380000.0	1520.0	0.27406417112299464	0.7259358288770054
390000.0	1560.0	0.25637755102040816	0.7436224489795918
400000.0	1600.0	0.27351485148514854	0.7264851485148515
410000.0	1640.0	0.27351485148514854	0.7264851485148515
420000.0	1680.0	0.2834158415841584	0.7165841584158417
430000.0	1720.0	0.2848557692307692	0.7151442307692308
440000.0	1760.0	0.29447115384615385	0.7055288461538461
450000.0	1800.0	0.27351485148514854	0.7264851485148515
460000.0	1840.0	0.27351485148514854	0.7264851485148515
470000.0	1880.0	0.2834158415841584	0.7165841584158417
480000.0	1920.0	0.2800480769230769	0.7199519230769231
490000.0	1960.0	0.30408653846153844	0.6959134615384616
500000.0	2000.0	0.3142523364485981	0.6857476635514019
